User,year,month,input_name,flow
loudoun,1998,NOVEMBER,HUGHES BRANCH,6.33
loudoun,1998,DECEMBER,HUGHES BRANCH,6.24
loudoun,1999,JANUARY,HUGHES BRANCH,7.61
loudoun,1999,FEBRUARY,HUGHES BRANCH,5.96
loudoun,1999,MARCH,HUGHES BRANCH,7.83
loudoun,1999,APRIL,HUGHES BRANCH,6.20
loudoun,1999,MAY,HUGHES BRANCH,6.22
loudoun,1999,JUNE,HUGHES BRANCH,6.14
loudoun,1999,JULY,HUGHES BRANCH,6.13
loudoun,1999,AUGUST,HUGHES BRANCH,6.38
loudoun,1999,SEPTEMBER,HUGHES BRANCH,7.46
loudoun,1999,OCTOBER,HUGHES BRANCH,6.98
loudoun,1999,NOVEMBER,HUGHES BRANCH,5.88
loudoun,1999,DECEMBER,HUGHES BRANCH,6.00
loudoun,2000,JANUARY,HUGHES BRANCH,5.94
loudoun,2000,FEBRUARY,HUGHES BRANCH,8.46
loudoun,2000,MARCH,HUGHES BRANCH,8.29
loudoun,2000,APRIL,HUGHES BRANCH,7.87
loudoun,2000,MAY,HUGHES BRANCH,6.88
loudoun,2000,JUNE,HUGHES BRANCH,7.17
loudoun,2000,JULY,HUGHES BRANCH,7.07
loudoun,2000,AUGUST,HUGHES BRANCH,7.31
loudoun,2000,SEPTEMBER,HUGHES BRANCH,6.70
loudoun,2000,OCTOBER,HUGHES BRANCH,6.41
loudoun,2000,NOVEMBER,HUGHES BRANCH,6.25
loudoun,2000,DECEMBER,HUGHES BRANCH,6.80
loudoun,2001,JANUARY,HUGHES BRANCH,7.68
loudoun,2001,FEBRUARY,HUGHES BRANCH,6.92
loudoun,2001,MARCH,HUGHES BRANCH,8.17
loudoun,2001,APRIL,HUGHES BRANCH,8.02
loudoun,2001,MAY,HUGHES BRANCH,8.52
loudoun,2001,JUNE,HUGHES BRANCH,8.42
loudoun,2001,JULY,HUGHES BRANCH,7.99
loudoun,2001,AUGUST,HUGHES BRANCH,8.16
loudoun,2001,SEPTEMBER,HUGHES BRANCH,6.83
loudoun,2001,OCTOBER,HUGHES BRANCH,6.56
loudoun,2001,NOVEMBER,HUGHES BRANCH,7.19
loudoun,2001,DECEMBER,HUGHES BRANCH,7.19
loudoun,2002,JANUARY,HUGHES BRANCH,6.94
loudoun,2002,FEBRUARY,HUGHES BRANCH,6.30
loudoun,2002,MARCH,HUGHES BRANCH,7.76
loudoun,2002,APRIL,HUGHES BRANCH,8.25
loudoun,2002,MAY,HUGHES BRANCH,9.06
loudoun,2002,JUNE,HUGHES BRANCH,8.72
loudoun,2002,JULY,HUGHES BRANCH,8.48
loudoun,2002,AUGUST,HUGHES BRANCH,8.50
loudoun,2002,SEPTEMBER,HUGHES BRANCH,7.38
loudoun,2002,OCTOBER,HUGHES BRANCH,7.73
loudoun,2002,NOVEMBER,HUGHES BRANCH,8.86
loudoun,2002,DECEMBER,HUGHES BRANCH,9.06
loudoun,2003,JANUARY,HUGHES BRANCH,8.55
loudoun,2003,FEBRUARY,HUGHES BRANCH,8.50
loudoun,2003,MARCH,HUGHES BRANCH,9.88
loudoun,2003,APRIL,HUGHES BRANCH,7.96
loudoun,2003,MAY,HUGHES BRANCH,9.66
loudoun,2003,JUNE,HUGHES BRANCH,10.51
loudoun,2003,JULY,HUGHES BRANCH,7.57
loudoun,2003,AUGUST,HUGHES BRANCH,7.70
loudoun,2003,SEPTEMBER,HUGHES BRANCH,7.91
loudoun,2003,OCTOBER,HUGHES BRANCH,7.10
loudoun,2003,NOVEMBER,HUGHES BRANCH,8.27
loudoun,2003,DECEMBER,HUGHES BRANCH,8.37
loudoun,2004,JANUARY,HUGHES BRANCH,6.94
loudoun,2004,FEBRUARY,HUGHES BRANCH,7.68
loudoun,2004,MARCH,HUGHES BRANCH,8.10
loudoun,2004,APRIL,HUGHES BRANCH,9.23
loudoun,2004,MAY,HUGHES BRANCH,9.37
loudoun,2004,JUNE,HUGHES BRANCH,7.99
loudoun,2004,JULY,HUGHES BRANCH,7.53
loudoun,2004,AUGUST,HUGHES BRANCH,7.62
