user,year,month,input,flow
dulles,2018,APRIL,DULLES   -   S -110,28.77
dulles,2018,MAY,DULLES   -   S -110,30.23
dulles,2018,JUNE,DULLES   -   S -110,28.45
dulles,2018,JULY,DULLES   -   S -110,26.88
dulles,2018,AUGUST,DULLES   -   S -110,30.00
dulles,2018,SEPTEMBER,DULLES   -   S -110,29.62
dulles,2018,OCTOBER,DULLES   -   S -110,33.23
dulles,2018,NOVEMBER,DULLES   -   S -110,30.66
dulles,2018,DECEMBER,DULLES   -   S -110,29.32
dulles,2019,JANUARY,DULLES   -   S -110,29.72
dulles,2019,FEBRUARY,DULLES   -   S -110,23.63
dulles,2019,MARCH,DULLES   -   S -110,25.30
dulles,2019,APRIL,DULLES   -   S -110,31.47
dulles,2019,MAY,DULLES   -   S -110,29.05
dulles,2019,JUNE,DULLES   -   S -110,30.60
dulles,2019,JULY,DULLES   -   S -110,25.07
dulles,2019,AUGUST,DULLES   -   S -110,25.55
dulles,2019,SEPTEMBER,DULLES   -   S -110,27.89
dulles,2019,OCTOBER,DULLES   -   S -110,23.28
dulles,2019,NOVEMBER,DULLES   -   S -110,23.04
dulles,2019,DECEMBER,DULLES   -   S -110,28.83
dulles,2020,JANUARY,DULLES   -   S -110,26.96
dulles,2020,FEBRUARY,DULLES   -   S -110,23.76
dulles,2020,MARCH,DULLES   -   S -110,21.90
dulles,2020,APRIL,DULLES   -   S -110,13.55
dulles,2020,MAY,DULLES   -   S -110,17.89
dulles,2020,JUNE,DULLES   -   S -110,19.73
dulles,2020,JULY,DULLES   -   S -110,14.61
dulles,2020,AUGUST,DULLES   -   S -110,25.27
dulles,2020,SEPTEMBER,DULLES   -   S -110,16.30
dulles,2020,OCTOBER,DULLES   -   S -110,14.29
dulles,2020,NOVEMBER,DULLES   -   S -110,21.18
dulles,2020,DECEMBER,DULLES   -   S -110,24.26
dulles,2021,JANUARY,DULLES   -   S -110,16.58
dulles,2021,FEBRUARY,DULLES   -   S -110,18.35
dulles,2021,MARCH,DULLES   -   S -110,21.18
dulles,2021,APRIL,DULLES   -   S -110,16.83
dulles,2021,MAY,DULLES   -   S -110,15.86
dulles,2021,JUNE,DULLES   -   S -110,24.64
dulles,2021,JULY,DULLES   -   S -110,20.36
dulles,2021,AUGUST,DULLES   -   S -110,25.38
dulles,2021,SEPTEMBER,DULLES   -   S -110,21.68
dulles,2021,OCTOBER,DULLES   -   S -110,16.67
dulles,2021,NOVEMBER,DULLES   -   S -110,23.57
dulles,2021,DECEMBER,DULLES   -   S -110,12.87
dulles,2022,JANUARY,DULLES   -   S -110,21.37
dulles,2022,FEBRUARY,DULLES   -   S -110,15.38
dulles,2022,MARCH,DULLES   -   S -110,15.28
dulles,2022,APRIL,DULLES   -   S -110,18.00
