ID,type,name,Lat,Lon,state,capacity,date start,status,usmh,dsmh,dia,slope,length,material,shape,usstation,dsstation,unit
,manhole,99,38.96641253,-77.43602416,,,,,99,98,36,0.001,498,RCP,Round,80301,48700,11A
,manhole,100,38.9659176,-77.43442936,,,,,100,99,36,0.001,488,RCP,Round,80795,80301,11A
,manhole,101,38.96558487,-77.43268394,,,,,101,100,36,0.001,511,RCP,Round,81306,80795,11A
,manhole,102,38.96513653,-77.43126193,,,,,102,101,36,0.001,436,RCP,Round,81743,81306,11A
,manhole,103,38.96495139,-77.43069352,,,,,103,102,36,0.001,175,RCP,Round,81919,81743,11A
,manhole,103.2,38.96510773,-77.4302517,,,,,103.2,103.81,24,0.0013,271,RCP,Round,82750,81919,11A
,manhole,103.8,38.96589901,-77.42909087,,,,,103.8,103,24,0.0013,138,RCP,Round,,82750,11A
,manhole,103.81,38.96635897,-77.42841531,,,,,103.81,103.8,24,0.0013,423,RCP,Round,,,11A
,manhole,104,38.96404408,-77.43026329,,,,,104,103,30,0.0018,352,RCP,Round,82319,,11A
,manhole,105,38.96286125,-77.43016239,,,,,105,104,30,0.0018,432,RCP,Round,82750,82319,11A
,manhole,106,38.96134359,-77.43022272,,,,,106,105,30,0.0018,553,RCP,Round,83308,82750,11A
,manhole,107,38.96057014,-77.43039805,,,,,107,107.8,30,0.0012,16,RCP,Round,83593,83579,11A
,manhole,107.2,38.96060989,-77.43037783,,,,,107.2,107.83,30,0.00658,204,RCP,Round,1220,1416,11A
,manhole,107.8,38.95834552,-77.42939936,,,,,107.8,106,30,0.00693,271,RCP,Round,83579,83308,11A
,manhole,107.82,38.95771071,-77.42853494,,,,,107.82,107.8,30,0.00319,859,RCP,Round,486,83579,11A
,manhole,107.83,38.95730987,-77.42803148,,,,,107.83,107.82,30,0.00319,337,RCP,Round,864,1220,11A
,manhole,108,38.95998404,-77.43167188,,,,,108,107,30,0.0012,420,RCP,Round,84079,83593,11A
,manhole,109,38.9590016,-77.4318876,,,,,109,108,30,0.0012,363,RCP,Round,84443,84079,11A
,manhole,110,38.95802278,-77.4319043,,,,,110,109,30,0.0012,357,RCP,Round,84800,84443,11A
,manhole,111,38.95664903,-77.4319296,,,,,111,110,30,0.0012,500,RCP,Round,85301,84800,11A
,manhole,112,38.95527283,-77.43195383,,,,,112,111,30,0.0012,501,RCP,Round,85801,85301,11A
,manhole,113,38.95389597,-77.43197811,,,,,113,112,30,0.0012,502,RCP,Round,86302,85801,11A
,manhole,114,38.95252042,-77.43200335,,,,,114,113,30,0.0012,2150,RCP,Round,86803,86302,11A
,manhole,115,38.95126469,-77.43205782,,,,,115,114,30,0.0012,959,RCP,Round,87293,86803,11A
,manhole,116,38.94989346,-77.43158001,,,,,116,115,30,0.0012,518,RCP,Round,87795,87293,11A
,manhole,117,38.94891318,-77.43035359,,,,,117,116,30,0.0012,499,RCP,Round,88300,87795,11A
,manhole,118.2,38.94808235,-77.42917647,,,,,118.2,117,30,0.0012,451,RCP,Round,88750,88300,11A
,manhole,200,39.00640502,-77.25484187,,,,,200,29,54,0.001,120,RCP,Round,121,88750,11A/1
,manhole,201,39.00271727,-77.25649449,,,,,201,200,54,0.001,1423,RCP,Round,1550,121,1
,manhole,202,39.00033324,-77.25665794,,,,,202,201,54,0.001,870,RCP,Round,2430,1550,1/12
,manhole,203,38.9978364,-77.25601231,,,,,203,202,54,0.0017,928,RCP,Round,3356,2430,12
,manhole,204,38.99508856,-77.25526996,,,,,204,203,54,0.0017,1023,RCP,Round,4398,3356,12
,manhole,205,38.99311412,-77.25434873,,,,,205,204,54,0.0017,765,RCP,Round,5195,4398,12
,manhole,206,38.99003973,-77.25318385,,,,,206,205,54,0.0017,1168,RCP,Round,6406,5195,12
,manhole,207,38.98754963,-77.25053553,,,,,207,206,54,0.0017,1179,RCP,Round,7599,6406,12/6
,manhole,208,38.98567736,-77.25055458,,,,,208,207,54,0.0017,682,RCP,Round,8368,7599,6
,manhole,208.2,38.97834872,-77.24951198,,,,,208.2,208,66,0.0006,2686,RCP,Round,,8368,6
,manhole,209,38.97793379,-77.24945391,,,,,209,208.2,66,0.0006,152,RCP,Round,11205,,6
,manhole,210,38.97612642,-77.25346715,,,,,210,209,54,0.0006,1317,RCP,Round,12570,11205,6/15
,manhole,211,38.97513462,-77.25552838,,,,,211,210,54,0.0009,688,RCP,Round,13279,12570,15
,manhole,212,38.97420075,-77.25995526,,,,,212,211,54,0.0009,1304,RCP,Round,14760,13279,15
,manhole,213,38.97234884,-77.26370048,,,,,213,212,54,0.0009,1260,RCP,Round,16020,14760,15
,manhole,214,38.97165546,-77.2669044,,,,,214,213,48,0.0017,945,RCP,Round,17013,16020,15
,manhole,215,38.97179347,-77.26994824,,,,,215,214,48,0.0017,867,RCP,Round,17878,17013,15
,manhole,216,38.97129122,-77.27432257,,,,,216,215,48,0.0017,1257,RCP,Round,19155,17878,15
,manhole,217,38.97085007,-77.27634606,,,,,217,216,48,0.003,597,RCP,Round,19751,19155,15
,manhole,218,38.97070097,-77.27839608,,,,,218,217,42,0.0026,585,RCP,Round,20367,19751,15
,manhole,219,38.97034179,-77.28014232,,,,,219,218,42,0.0026,513,RCP,Round,21060,20367,15
,manhole,220,38.96926061,-77.28090213,,,,,220,219,42,0.0026,449,RCP,Round,21509,21060,15
,manhole,221,38.96886649,-77.28336782,,,,,221,220,42,0.0026,716,RCP,Round,22285,21509,15
,manhole,222,38.96818331,-77.28528219,,,,,222,221,42,0.0026,598,RCP,Round,22899,22285,15
,manhole,223,38.96756884,-77.2866277,,,,,223,222,42,0.0026,443,RCP,Round,23347,22899,15
,manhole,224,38.96656911,-77.28778956,,,,,224,223,42,0.0026,492,RCP,Round,24124,23347,15
,manhole,300,39.05229173,-77.3628545,,,,,300,44,42,0.0063,545,RCP,Round,604,24124,15/16
,manhole,301,39.04952544,-77.36283635,,,,,301,300,48,0.0008,1008,RCP,Round,1618,604,16
,manhole,302,39.04755251,-77.36372218,,,,,302,301,48,0.0008,761,RCP,Round,2384,1618,16
,manhole,303,39.04620418,-77.36432672,,,,,303,302,42,0.0016,520,RCP,Round,2904,2384,16
,manhole,304,39.04445459,-77.36401419,,,,,304,303,42,0.0016,643,RCP,Round,3618,2904,16
,manhole,305,39.04295095,-77.36320794,,,,,305,304,42,0.0014,594,RCP,Round,4296,3618,16
,manhole,306,39.04272846,-77.36304635,,,,,306,305,42,0.0014,93,RCP,Round,5006,4296,16
,manhole,307,39.03937902,-77.36335594,,,,,307,306,42,0.0014,1223,RCP,Round,5596,5006,16
,manhole,308,39.03788176,-77.3643407,,,,,308,307,42,0.0014,613,RCP,Round,6196,5596,16
,manhole,309,39.03603036,-77.36464689,,,,,309,308,42,0.0014,680,RCP,Round,6895,6196,16
,manhole,310,39.03408781,-77.36458114,,,,,310,309,42,0.0014,708,RCP,Round,7607,6895,16
,manhole,311,39.03252773,-77.36397939,,,,,311,310,42,0.0014,593,RCP,Round,8247,7607,16
,manhole,312,39.0313844,-77.36316047,,,,,312,311,42,0.0014,477,RCP,Round,8793,8247,16
